ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;30-39;33;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Intersection;September;20:39;2008;B: Evident Injury;30-39;31;No;Unknown;O: No Injury;White;Female;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);5 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Rain;No
Yes;30-39;31;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Tuesday;Non-Intersection;March;12:28;2011;B: Evident Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;11-15;13;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Monday;Intersection;October;15:18;2012;C: Possible Injury;70;70;No;31-35 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;40-49;48;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Intersection;April;16:02;2011;C: Possible Injury;40-49;43;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Rain;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;Hispanic;Male;Durham;Durham;No;Tuesday;Non-Intersection;July;15:18;2008;B: Evident Injury;50-59;58;No;31-35 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;16-19;18;With Traffic;B: Evident Injury;Unknown;White;Male;Chapel Hill;Orange;No;Saturday;Intersection;September;14:17;2007;B: Evident Injury;60-69;68;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;40-49;43;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Monday;Intersection;February;13:27;2008;B: Evident Injury;0-19;19;No;26-30 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;60-69;64;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;None - Rural Crash;Orange;No;Tuesday;Non-Intersection;June;9:13;2009;C: Possible Injury;Unknown;Unknown;No;36-40 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;20-24;23;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Female;Chapel Hill;Orange;No;Sunday;Intersection;October;20:06;2011;B: Evident Injury;20-24;21;No;0-5 mph;O: No Injury;White;Female;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;40-49;48;With Traffic;Unknown Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Intersection;February;17:22;2011;O: No Injury;25-29;28;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;16-19;16;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Saturday;Non-Intersection;June;12:09;2012;C: Possible Injury;Unknown;Unknown;Missing;0-5 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;20-24;21;Unknown;B: Evident Injury;Multi-use Path;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;December;18:48;2007;B: Evident Injury;30-39;38;No;6-10 mph;O: No Injury;Asian;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);1 lane;2.0;Straight - Grade;Public Vehicular Area;None;Coarse Asphalt;Urban;5 - 15 MPH;Clear;No
No;30-39;37;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Friday;Intersection;August;18:00;2010;B: Evident Injury;70;70;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;None;Coarse Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;50-59;53;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Wednesday;Non-Intersection;August;17:41;2009;B: Evident Injury;20-24;22;No;41-45 mph;O: No Injury;Black;Male;No;Yes;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;11-15;12;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Wednesday;Intersection;September;17:16;2008;C: Possible Injury;20-24;22;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;25-29;27;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Thursday;Non-Intersection;August;22:06;2013;B: Evident Injury;Unknown;Unknown;Missing;31-35 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Lighted Roadway;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;30-39;33;With Traffic;C: Possible Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Non-Intersection;September;13:43;2008;C: Possible Injury;50-59;53;No;41-45 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;Yes;Thursday;Intersection;August;16:15;2009;B: Evident Injury;20-24;22;Yes;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Grade;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
No;16-19;16;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Tuesday;Non-Intersection;July;15:00;2011;C: Possible Injury;0-19;19;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;5 - 15 MPH;Clear;No
Yes;20-24;23;With Traffic;A: Disabling Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Intersection;April;17:26;2011;A: Disabling Injury;25-29;25;No;41-45 mph;O: No Injury;Black;Female;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;50 - 55  MPH;Clear;No
No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Saturday;Intersection;September;21:24;2010;B: Evident Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;Unknown;Clear;No
Yes;25-29;27;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Intersection-Related;February;12:07;2009;C: Possible Injury;20-24;22;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;6-10;10;Not Applicable;B: Evident Injury;Driveway / Alley;White;Male;None - Rural Crash;Chatham;No;Tuesday;Non-Intersection;April;17:18;2007;B: Evident Injury;25-29;26;No;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Coarse Asphalt;Rural;30 - 35  MPH;Clear;No
No;25-29;26;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Sunday;Non-Intersection;April;3:20;2008;C: Possible Injury;30-39;34;No;36-40 mph;O: No Injury;White;Male;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;None;Coarse Asphalt;Urban;40 - 45  MPH;Rain;No
No;30-39;35;Not Applicable;C: Possible Injury;Travel Lane;Hispanic;Male;None - Rural Crash;Orange;No;Friday;Non-Roadway;August;18:06;2009;C: Possible Injury;Unknown;Unknown;Missing;11-15 mph;Unknown Injury;Unknown/Missing;Unknown;No;No;Dusk;Mixed (30% To 70% Developed);2 lanes;3.0;Straight - Level;Private Road - Driveway;None;Gravel;Rural;5 - 15 MPH;Cloudy;No
No;30-39;32;With Traffic;O: No Injury;Travel Lane;Black;Male;Carrboro;Orange;No;Wednesday;Non-Intersection;August;18:04;2013;O: No Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
