ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;20-24;20;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Sunday;Non-Intersection;October;20:04;2010;B: Evident Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;31;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Non-Intersection;January;18:00;2010;C: Possible Injury;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Rain;No
No;60-69;61;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Friday;Non-Intersection;September;16:55;2013;B: Evident Injury;40-49;43;No;51-55 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;50 - 55  MPH;Clear;No
No;16-19;17;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Carrboro;Orange;No;Saturday;Non-Intersection;August;13:17;2011;C: Possible Injury;Unknown;Unknown;No;0-5 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;50-59;54;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Intersection;September;5:44;2010;B: Evident Injury;50-59;55;No;16-20 mph;O: No Injury;White;Male;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);5 lanes;2.0;Straight - Hillcrest;Local Street;None;Coarse Asphalt;Urban;40 - 45  MPH;Clear;No
Yes;40-49;49;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Intersection;September;7:40;2009;B: Evident Injury;60-69;60;No;31-35 mph;O: No Injury;Black;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;25-29;28;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Carrboro;Orange;No;Thursday;Non-Intersection;December;20:35;2008;C: Possible Injury;20-24;23;No;16-20 mph;O: No Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;20-24;21;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Non-Intersection;January;8:41;2007;C: Possible Injury;Unknown;Unknown;Missing;16-20 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;60-69;65;With Traffic;A: Disabling Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Non-Intersection;March;17:25;2008;A: Disabling Injury;60-69;65;No;31-35 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;30-39;36;With Traffic;B: Evident Injury;Unknown;White;Male;Carrboro;Orange;No;Tuesday;Intersection;April;17:37;2008;B: Evident Injury;50-59;50;No;31-35 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;30-39;38;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Intersection;October;17:39;2011;B: Evident Injury;70;70;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Curve - Hillcrest;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Monday;Non-Intersection;December;17:13;2012;B: Evident Injury;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dusk;Urban (>70% Developed);4 lanes;2.0;Straight - Bottom;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
