ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
Yes;20-24;22;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Thursday;Motorist Overtaking Bicyclist;Intersection;April;16:38;Motorist Overtaking - Other / Unknown;2010;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;No;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
No;16-19;18;Not Applicable;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;Non-Roadway;September;16:29;Non-Roadway;2013;C: Possible Injury;Institutional;40-49;43;No;0-5 mph;C: Possible Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Other;Urban;5 - 15 MPH;No Control Present;Clear;No
Yes;25-29;25;With Traffic;C: Possible Injury;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Friday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;September;2:47;Bicyclist Ride Through - Sign-Controlled Intersection;2012;C: Possible Injury;Residential;40-49;49;No;31-35 mph;O: No Injury;Black;Male;Van;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;30 - 35  MPH;Stop Sign;Clear;No
Yes;25-29;27;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Durham;Durham;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;February;18:30;Motorist Overtaking - Other / Unknown;2011;B: Evident Injury;Commercial;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;Sport Utility;No;Yes;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
No;11-15;11;Not Applicable;B: Evident Injury;Travel Lane;Black;Female;Durham;Durham;No;Friday;Non-Roadway;Non-Roadway;October;16:47;Non-Roadway;2010;B: Evident Injury;Residential;20-24;24;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;5 - 15 MPH;No Control Present;Clear;No
Yes;30-39;34;With Traffic;B: Evident Injury;Travel Lane;Other;Male;None - Rural Crash;Orange;No;Monday;Motorist Right Turn / Merge;Intersection;March;19:34;Motorist Right Turn - Same Direction;2012;B: Evident Injury;Residential;40-49;41;No;31-35 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
No;70;0;With Traffic;O: No Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;April;16:15;Motorist Left Turn - Same Direction;2013;O: No Injury;Commercial;70;70;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No
No;50-59;53;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Bicyclist Overtaking Motorist;Non-Intersection;September;17:39;Bicyclist Overtaking - Extended Door;2010;C: Possible Injury;Commercial;40-49;42;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Cloudy;No
Yes;16-19;18;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Sunday;Motorist Left Turn / Merge;Intersection;January;16:41;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Institutional;40-49;45;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;20-24;23;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;April;9:52;Motorist Overtaking - Other / Unknown;2012;B: Evident Injury;Residential;Unknown;Unknown;No;31-35 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Level;Local Street;Dry;Two-Way, Not Divided;Unknown;No Special Feature;Smooth Asphalt;Rural;30 - 35  MPH;No Control Present;Clear;No
No;16-19;18;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Overtaking Motorist;Non-Intersection;January;17:13;Bicyclist Overtaking - Other / Unknown;2012;B: Evident Injury;Institutional;60-69;62;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;5 - 15 MPH;No Control Present;Cloudy;No
Yes;40-49;41;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;September;23:35;Motorist Overtaking - Other / Unknown;2013;K: Killed;Farms, Woods, Pastures;Unknown;Unknown;No;61-65 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;Yes;Yes;Dark - Roadway Not Lighted;Rural (<30% Developed);4 lanes;3.0;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;No Control Present;Clear;No
Yes;50-59;57;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Carrboro;Orange;No;Wednesday;Motorist Failed to Yield - Midblock;Non-Intersection;November;8:19;Motorist Drive Out - Commercial Driveway / Alley;2013;C: Possible Injury;Commercial;60-69;66;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;Unknown;No Control Present;Clear;No
Yes;50-59;54;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;September;7:46;Motorist Overtaking - Misjudged Space;2009;B: Evident Injury;Institutional;60-69;67;No;0-5 mph;O: No Injury;Black;Male;Commercial Bus;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Non-Intersection;February;16:23;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Commercial;20-24;22;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Overtaking Motorist;Non-Intersection;June;17:27;Bicyclist Overtaking - Other / Unknown;2009;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Van;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;30-39;38;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Motorist Left Turn / Merge;Intersection;October;16:58;Motorist Left Turn - Opposite Direction;2010;B: Evident Injury;Commercial;60-69;68;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
No;40-49;49;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Thursday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;April;17:25;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Farms, Woods, Pastures;40-49;40;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Bottom;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Rural;Unknown;Stop Sign;Clear;No
No;16-19;18;Not Applicable;O: No Injury;Non-Roadway;White;Male;None - Rural Crash;Chatham;No;Thursday;Non-Roadway;Non-Roadway;July;17:35;Non-Roadway;2008;O: No Injury;Commercial;30-39;36;No;11-15 mph;O: No Injury;White;Female;Van;No;No;Daylight;Rural (<30% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;5 - 15 MPH;No Control Present;Clear;No
Yes;50-59;53;With Traffic;B: Evident Injury;Travel Lane;Other;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;July;19:37;Motorist Overtaking - Undetected Bicyclist;2013;B: Evident Injury;Farms, Woods, Pastures;40-49;46;No;41-45 mph;O: No Injury;Black;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;50-59;56;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Wednesday;Head-On;Non-Intersection;May;9:32;Head-On - Motorist;2008;B: Evident Injury;Commercial;Unknown;Unknown;Missing;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Rain;No
Yes;50-59;51;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;15:32;Motorist Drive Out - Sign-Controlled Intersection;2009;C: Possible Injury;Commercial;60-69;61;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
No;50-59;53;With Traffic;C: Possible Injury;Unknown;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Non-Intersection;September;8:04;Motorist Left Turn - Opposite Direction;2007;C: Possible Injury;Residential;30-39;34;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;20-24;23;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;10:07;Motorist Drive Out - Sign-Controlled Intersection;2011;C: Possible Injury;Commercial;25-29;28;No;Unknown;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Private Road, Driveway;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;5 - 15 MPH;Stop Sign;Clear;No
No;60-69;64;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Wednesday;Motorist Failed to Yield - Signalized Intersection;Intersection;March;10:28;Motorist Drive Out - Right Turn on Red;2013;C: Possible Injury;Residential;60-69;60;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Cloudy;No
Yes;60-69;63;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;November;9:32;Motorist Left Turn - Opposite Direction;2010;C: Possible Injury;Commercial;50-59;58;No;Unknown;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
No;25-29;27;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Tuesday;Motorist Right Turn / Merge;Non-Intersection;May;20:34;Motorist Right Turn - Same Direction;2008;B: Evident Injury;Commercial;20-24;21;No;11-15 mph;O: No Injury;White;Female;Sport Utility;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Hillcrest;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Urban;5 - 15 MPH;Missing;Clear;No
Yes;20-24;20;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Sunday;Bicyclist Overtaking Motorist;Non-Intersection;October;20:04;Bicyclist Overtaking - Parked Vehicle;2010;B: Evident Injury;Institutional;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;30-39;31;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Right Turn / Merge;Non-Intersection;January;18:00;Motorist Right Turn - Same Direction;2010;C: Possible Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Rain;No
No;60-69;61;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Friday;Motorist Overtaking Bicyclist;Non-Intersection;September;16:55;Motorist Overtaking - Other / Unknown;2013;B: Evident Injury;Farms, Woods, Pastures;40-49;43;No;51-55 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No
No;16-19;17;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Carrboro;Orange;No;Saturday;Motorist Failed to Yield - Midblock;Non-Intersection;August;13:17;Motorist Drive Out - Commercial Driveway / Alley;2011;C: Possible Injury;Commercial;Unknown;Unknown;No;0-5 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;NC Route;Wet;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Cloudy;No
Yes;50-59;54;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Overtaking Bicyclist;Intersection;September;5:44;Motorist Overtaking - Other / Unknown;2010;B: Evident Injury;Commercial;50-59;55;No;16-20 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);5 lanes;2.0;Straight - Hillcrest;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;T-Intersection;Coarse Asphalt;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No
Yes;40-49;49;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Motorist Overtaking Bicyclist;Intersection;September;7:40;Motorist Overtaking - Other / Unknown;2009;B: Evident Injury;Residential;60-69;60;No;31-35 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;25-29;28;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Carrboro;Orange;No;Thursday;Bicyclist Left Turn / Merge;Non-Intersection;December;20:35;Bicyclist Left Turn - Opposite Direction;2008;C: Possible Injury;Commercial;20-24;23;No;16-20 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Cloudy;No
Yes;20-24;21;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;January;8:41;Motorist Overtaking - Misjudged Space;2007;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;Missing;16-20 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;No Control Present;Clear;No
Yes;60-69;65;With Traffic;A: Disabling Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Left Turn / Merge;Non-Intersection;March;17:25;Bicyclist Left Turn - Same Direction;2008;A: Disabling Injury;Residential;60-69;65;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
No;30-39;36;With Traffic;B: Evident Injury;Unknown;White;Male;Carrboro;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Intersection;April;17:37;Motorist Overtaking - Bicyclist Swerved;2008;B: Evident Injury;Residential;50-59;50;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;30-39;38;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Loss of Control / Turning Error;Intersection;October;17:39;Bicyclist Lost Control - Other / Unknown;2011;B: Evident Injury;Commercial;70;70;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Curve - Hillcrest;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Other;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Monday;Parallel Paths - Other Circumstances;Non-Intersection;December;17:13;Motorist Turn / Merge - Other / Unknown;2012;B: Evident Injury;Commercial;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dusk;Urban (>70% Developed);4 lanes;2.0;Straight - Bottom;Local Street;Dry;Two-Way, Divided, Positive Median Barrier;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
