ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
No;6-10;8;Not Applicable;C: Possible Injury;Driveway / Alley;White;Male;Chapel Hill;Orange;No;Friday;Bicyclist Failed to Yield - Midblock;Non-Intersection;December;15:42;Bicyclist Ride Out - Residential Driveway;2008;C: Possible Injury;Residential;40-49;48;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Missing;Clear;No
Yes;30-39;34;Facing Traffic;C: Possible Injury;Travel Lane;Asian;Male;Chapel Hill;Orange;No;Tuesday;Loss of Control / Turning Error;Intersection;July;17:24;Bicyclist Turning Error - Left Turn;2007;C: Possible Injury;Residential;30-39;39;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Rain;No
No;11-15;15;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Durham;Durham;No;Monday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;April;18:50;Bicyclist Ride Out - Signalized  Intersection;2013;C: Possible Injury;Industrial;30-39;30;No;41-45 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
No;20-24;22;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;July;17:24;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Residential;0-19;16;No;21-25 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Bicyclist Overtaking Motorist;Intersection-Related;August;12:41;Bicyclist Overtaking - Passing on Right;2012;B: Evident Injury;Commercial;60-69;63;No;Unknown;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop Sign;Cloudy;No
No;25-29;29;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Tuesday;Motorist Failed to Yield - Midblock;Non-Intersection;December;17:45;Motorist Drive Out - Residential Driveway;2009;B: Evident Injury;Residential;40-49;43;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);Unknown;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
No;30-39;33;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Right Turn / Merge;Non-Intersection;February;12:02;Motorist Right Turn - Same Direction;2009;C: Possible Injury;Residential;30-39;33;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;20-24;23;Not Applicable;C: Possible Injury;Multi-use Path;White;Female;Carrboro;Orange;No;Thursday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;August;8:58;Bicyclist Ride Through - Sign-Controlled Intersection;2008;C: Possible Injury;Commercial;40-49;48;No;16-20 mph;O: No Injury;White;Male;Van;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
No;16-19;19;Not Applicable;C: Possible Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Friday;Bicyclist Failed to Yield - Midblock;Non-Intersection;September;15:43;Bicyclist Ride Out - Midblock - Unknown;2013;C: Possible Injury;Commercial;60-69;67;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Divided, Positive Median Barrier;None;No Special Feature;Concrete;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;50-59;51;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;Yes;Thursday;Bicyclist Right Turn / Merge;Intersection-Related;August;16:06;Bicyclist Right Turn - Same Direction;2012;B: Evident Injury;Commercial;20-24;24;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);6 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
